==================================================
EXPERIMENT START
ID: EXP_THRESH_2_1776411340
Dimension: SIGNAL_THRESHOLD
Variant: 2
==================================================

[BTCUSDT] Trades: 1033 | WinRate: 24.3% | PF: 0.93 | Exp: -0.033%
[ETHUSDT] Trades: 921 | WinRate: 26.4% | PF: 1.01 | Exp: 0.007%
[XRPUSDT] Trades: 1037 | WinRate: 27.1% | PF: 1.04 | Exp: 0.025%
[SOLUSDT] Trades: 812 | WinRate: 26.5% | PF: 1.09 | Exp: 0.079%
[DOGEUSDT] Trades: 939 | WinRate: 27.3% | PF: 1.17 | Exp: 0.136%
[ZECUSDT] Trades: 847 | WinRate: 24.7% | PF: 0.98 | Exp: -0.016%
[TAOUSDT] Trades: 299 | WinRate: 27.1% | PF: 1.11 | Exp: 0.133%
[SUIUSDT] Trades: 461 | WinRate: 24.7% | PF: 0.90 | Exp: -0.110%
[XAUUSDT] Trades: 84 | WinRate: 16.7% | PF: 0.54 | Exp: -0.118%
[XAGUSDT] Trades: 50 | WinRate: 44.0% | PF: 2.17 | Exp: 0.648%
[LINKUSDT] Trades: 877 | WinRate: 25.2% | PF: 1.00 | Exp: -0.002%
[LTCUSDT] Trades: 952 | WinRate: 25.9% | PF: 1.05 | Exp: 0.036%
[BNBUSDT] Trades: 973 | WinRate: 23.7% | PF: 0.91 | Exp: -0.053%
